actor,script,start_time,end_time,duration
토토,그럼 우리 술 먹고 집에 들어가다가,00:10:30,00:10:30,00:10:30
토토,"나, 납치라도 되면",00:10:32,00:10:32,00:10:32
미리,아니,00:10:35,00:10:35,00:10:35
미리,집에 갔는데 혹시 누가 딱 들어와 있으면,00:10:36,00:10:36,00:10:36
희수,"[미리의 놀란 신음] 하지 마, 무섭게",00:10:38,00:10:38,00:10:38
채신,나무 관세음보살,00:10:40,00:10:40,00:10:40
채신,"뭐라도 대책을 세워야 되는 거 아니에요, 예?",00:10:42,00:10:42,00:10:42
채신,일단 금이고 나발이고…,00:10:44,00:10:44,00:10:44
설명,[긴장되는 효과음],00:10:47,00:10:47,00:10:47
채신,금요?,00:10:52,00:10:52,00:10:52
희수,금,00:10:55,00:10:55,00:10:55
희수,금일부터,00:10:57,00:10:57,00:10:57
희수,우리가 힘을 합쳐 갖고 빈센조 변호사를 도와서,00:10:58,00:10:58,00:10:58
희수,이 난국을 타개하자고,00:11:01,00:11:01,00:11:01
홍식,어쨌거나 우리를 지켜 줄 수 있는 무기는,00:11:03,00:11:03,00:11:03
홍식,빈센조 변호사뿐이여,00:11:06,00:11:06,00:11:06
홍식,바벨제약 피해자 가족 시신들 냉동 보관 하기로 했다면서요?,00:11:08,00:11:08,00:11:08
승혁,부검하기 전까지 장례도 안 치른다고,00:11:12,00:11:12,00:11:12
승혁,홍차영이 그게 또 쓸데없는 짓 하는 거지,00:11:14,00:11:14,00:11:14
승혁,누님,00:11:19,00:11:19,00:11:19
승혁,장준우 회장,00:11:20,00:11:20,00:11:20
승혁,"이, 도를 너무 많이 넘는 것 같지 않아요?",00:11:22,00:11:22,00:11:22
명희,왜?,00:11:24,00:11:24,00:11:24
명희,그카다가 우리도 죽일까 봐?,00:11:26,00:11:26,00:11:26
승혁,응,00:11:27,00:11:27,00:11:27
승혁,"나, 나 서 부장 죽는 거 보고서",00:11:29,00:11:29,00:11:29
승혁,나 공황 장애 온 거 같아,00:11:31,00:11:31,00:11:31
승혁,막 심장이 파닥파닥,00:11:33,00:11:33,00:11:33
