구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년04월12일,2036.12,1958.40,1952.40,1958.47,1963.55,1967.67,1956.39,1978.61,1986.50,1986.94,1983.08,1969.50,1983.74,1969.33,1965.56,1993.55,1980.20
2022년04월13일,2033.09,1954.14,1949.02,1951.74,1962.06,1964.36,1952.72,1975.98,1984.51,1984.80,1980.92,1967.61,1981.96,1966.83,1962.91,1985.40,1974.36
2022년04월14일,2032.81,1950.29,1945.81,1948.68,1961.30,1961.77,1949.84,1973.59,1983.23,1983.21,1979.25,1965.86,1980.97,1965.09,1960.73,1982.54,1973.08
2022년04월15일,2030.77,1948.45,1943.49,1946.89,1960.57,1958.07,1947.30,1971.58,1982.24,1981.08,1976.74,1964.20,1980.05,1963.54,1959.18,1978.71,1972.47
2022년04월16일,2025.44,1947.22,1942.66,1945.91,1960.83,1956.23,1947.10,1970.54,1981.38,1980.43,1975.20,1963.11,1979.51,1962.58,1958.01,1978.35,1970.95
2022년04월17일,2025.22,1946.64,1942.41,1945.74,1960.80,1955.91,1946.77,1969.91,1980.90,1979.32,1975.22,1962.74,1979.04,1962.16,1957.77,1978.31,1970.95
2022년04월18일,2029.94,1946.31,1941.11,1945.84,1960.40,1955.39,1946.40,1969.30,1980.27,1978.60,1973.68,1961.67,1978.77,1961.17,1957.09,1979.24,1968.65
2022년04월19일,2029.27,1946.31,1940.95,1944.97,1960.34,1954.88,1946.28,1968.65,1979.28,1977.83,1973.63,1961.02,1978.27,1960.27,1956.45,1979.29,1969.29
2022년04월20일,2029.51,1945.96,1940.02,1944.33,1959.83,1953.68,1945.59,1968.36,1978.88,1976.90,1972.94,1960.71,1977.77,1959.46,1955.86,1978.98,1968.85
2022년04월21일,2027.56,1946.01,1940.03,1944.80,1959.92,1953.08,1945.78,1967.84,1978.13,1976.01,1972.53,1960.29,1977.71,1958.65,1955.56,1980.38,1967.48
2022년04월22일,2028.09,1946.39,1939.70,1944.71,1960.30,1952.66,1945.36,1967.40,1977.74,1975.39,1972.14,1959.81,1977.34,1957.90,1955.71,1987.34,1967.03
2022년04월23일,2024.49,1946.74,1940.04,1946.29,1960.22,1952.47,1945.62,1967.73,1977.67,1975.09,1971.86,1959.99,1977.83,1957.86,1955.44,2005.36,1967.41
2022년04월24일,2024.73,1947.00,1940.37,1946.54,1960.58,1952.23,1945.45,1968.15,1977.85,1975.13,1972.08,1960.15,1977.78,1957.62,1955.51,2010.06,1967.86
2022년04월25일,2030.22,1947.36,1940.01,1946.54,1961.05,1951.74,1946.59,1968.53,1978.30,1974.52,1971.92,1959.96,1977.87,1957.54,1954.65,2026.05,1966.65
2022년04월26일,2033.69,1947.78,1940.54,1948.14,1961.60,1951.70,1946.34,1969.03,1979.01,1975.33,1972.00,1960.02,1978.94,1958.03,1954.62,2026.42,1967.26
2022년04월27일,2034.66,1948.95,1940.85,1948.59,1961.85,1951.91,1946.65,1970.29,1978.87,1975.71,1972.19,1960.45,1979.95,1958.20,1954.99,2025.08,1967.26
2022년04월28일,2037.48,1951.34,1941.72,1947.51,1962.85,1954.16,1946.91,1972.27,1979.41,1976.64,1973.15,1961.26,1980.59,1959.02,1955.78,2025.81,1967.61
2022년04월29일,2038.91,1955.12,1943.61,1951.34,1964.35,1957.05,1948.96,1974.58,1980.19,1978.29,1974.63,1963.17,1982.31,1959.60,1957.06,2026.68,1968.89
2022년04월30일,2039.51,1958.74,1950.09,1955.21,1966.85,1965.66,1956.88,1977.53,1980.86,1981.17,1978.19,1966.75,1984.19,1963.64,1959.48,2026.60,1971.32
2022년05월01일,2003.12,1931.61,1925.68,1930.28,1945.15,1943.04,1935.69,1955.89,1965.27,1964.74,1965.48,1951.51,1966.58,1948.34,1942.41,1967.16,1943.54
2022년05월02일,1993.57,1919.19,1918.14,1915.96,1936.76,1930.28,1923.93,1946.38,1956.57,1958.91,1954.95,1943.26,1956.61,1937.28,1930.03,1944.85,1936.20
