구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년04월18일,1966.00,1875.76,1864.61,1893.54,1886.13,1889.19,1880.21,1902.15,1916.21,1905.50,1901.63,1883.22,1901.26,1884.64,1891.87,1962.96,1903.33
2022년04월19일,1966.66,1877.80,1866.29,1893.17,1886.66,1890.91,1881.10,1902.40,1916.40,1905.91,1902.55,1883.70,1901.78,1885.00,1892.02,1962.84,1904.70
2022년04월20일,1967.60,1878.74,1867.43,1893.26,1887.89,1891.55,1882.08,1903.55,1916.60,1906.85,1902.99,1884.36,1902.16,1885.44,1892.33,1962.68,1904.70
2022년04월21일,1964.61,1879.73,1868.43,1894.25,1888.74,1892.27,1882.22,1903.99,1917.02,1907.21,1903.54,1885.31,1903.16,1885.84,1893.08,1963.63,1905.15
2022년04월22일,1968.29,1880.75,1868.57,1894.32,1889.64,1893.33,1883.01,1904.56,1917.88,1907.68,1904.42,1886.39,1904.07,1886.53,1893.95,1970.18,1905.61
2022년04월23일,1966.25,1883.19,1871.07,1897.02,1890.24,1895.92,1884.57,1906.12,1918.66,1909.19,1905.86,1887.70,1905.29,1887.47,1895.31,1983.75,1906.82
2022년04월24일,1966.71,1883.86,1871.49,1897.39,1890.81,1896.14,1884.90,1906.68,1918.87,1909.19,1906.18,1887.82,1906.33,1887.45,1895.40,1989.31,1907.42
2022년04월25일,1974.51,1885.83,1873.17,1899.40,1893.13,1896.73,1888.41,1908.43,1920.37,1910.13,1906.89,1889.40,1908.21,1888.45,1896.61,2037.69,1909.09
2022년04월26일,1979.12,1888.29,1874.13,1901.60,1894.83,1898.01,1889.69,1909.80,1922.20,1911.07,1908.60,1890.75,1910.88,1890.82,1897.67,2048.29,1908.64
2022년04월27일,1981.96,1889.36,1876.22,1904.14,1896.23,1900.22,1890.47,1912.09,1923.80,1911.89,1909.59,1892.76,1912.97,1892.22,1898.99,2051.90,1912.27
2022년04월28일,1985.44,1892.01,1878.74,1904.59,1897.64,1902.59,1892.19,1914.61,1925.36,1913.22,1911.30,1894.76,1914.70,1893.73,1900.80,2052.68,1915.05
2022년04월29일,1987.15,1898.24,1883.02,1908.39,1899.61,1907.78,1893.97,1918.60,1927.36,1916.34,1915.00,1898.50,1918.59,1896.57,1904.41,2052.86,1917.85
2022년04월30일,1990.68,1904.62,1891.59,1915.35,1906.55,1916.20,1901.36,1923.86,1929.86,1920.56,1919.75,1905.04,1922.98,1903.06,1908.96,2053.69,1922.70
2022년05월01일,1965.45,1888.81,1878.23,1898.81,1893.90,1904.57,1889.58,1910.25,1919.92,1911.08,1913.67,1898.11,1912.74,1895.05,1898.99,2014.36,1906.38
2022년05월02일,1961.46,1884.21,1875.15,1892.60,1890.52,1902.36,1885.55,1906.07,1916.16,1908.97,1910.66,1895.98,1907.97,1890.50,1894.94,1999.74,1904.05
2022년05월03일,1958.34,1882.78,1876.27,1890.53,1892.58,1900.85,1883.52,1905.21,1914.65,1908.33,1911.41,1895.54,1906.02,1890.24,1893.60,1995.92,1904.82
2022년05월04일,1958.89,1883.98,1877.74,1894.82,1894.28,1903.63,1884.45,1906.48,1916.16,1910.27,1913.31,1898.16,1908.70,1893.76,1896.06,2035.42,1905.71
2022년05월05일,1959.74,1885.82,1882.88,1900.33,1895.56,1906.68,1886.80,1909.94,1919.08,1913.84,1917.73,1901.65,1912.61,1898.88,1899.81,2042.56,1907.00
2022년05월06일,1961.87,1890.17,1885.61,1903.85,1899.38,1908.37,1891.16,1914.17,1922.06,1918.49,1921.12,1906.13,1917.29,1902.98,1904.18,2043.20,1907.00
2022년05월07일,1964.76,1892.83,1890.94,1916.35,1903.48,1912.71,1894.55,1920.64,1928.03,1925.49,1927.36,1912.95,1922.75,1909.64,1908.67,2043.48,1910.11
2022년05월08일,1971.77,1896.87,1895.25,1924.90,1906.49,1920.87,1898.06,1925.69,1933.38,1931.25,1931.17,1917.56,1925.84,1914.10,1912.77,2044.66,1915.11
2022년05월09일,1977.18,1901.18,1901.82,1932.80,1910.74,1929.06,1906.71,1932.55,1938.86,1940.42,1936.30,1925.26,1932.75,1921.14,1919.73,2044.22,1920.83
2022년05월10일,1996.46,1910.57,1912.31,1940.61,1919.88,1939.71,1918.99,1944.00,1948.04,1951.85,1944.49,1933.04,1941.60,1931.08,1928.69,2051.44,1932.23
2022년05월11일,2004.34,1923.16,1917.66,1944.68,1922.16,1943.51,1926.01,1949.85,1954.81,1959.02,1949.99,1939.16,1947.15,1936.57,1935.93,2053.05,1940.29
2022년05월12일,2008.14,1930.48,1922.78,1951.35,1927.84,1945.57,1932.01,1956.62,1960.98,1964.67,1956.22,1944.51,1952.40,1941.13,1941.02,2060.89,1944.71
2022년05월13일,2015.43,1935.28,1927.38,1955.58,1937.41,1950.81,1935.64,1963.32,1968.34,1969.47,1962.25,1950.89,1958.17,1946.56,1947.12,2061.74,1950.61
2022년05월14일,2018.37,1938.11,1931.18,1965.86,1941.88,1953.94,1938.76,1968.31,1973.61,1973.36,1967.51,1956.13,1962.65,1951.90,1952.08,2063.49,1954.77
2022년05월15일,2020.47,1938.76,1933.78,1969.61,1944.47,1956.53,1939.81,1970.72,1976.56,1976.03,1970.08,1959.35,1964.59,1954.81,1954.39,2063.24,1959.29
2022년05월16일,2024.74,1941.71,1937.23,1972.82,1948.27,1961.18,1944.87,1974.94,1980.10,1979.38,1974.15,1964.55,1968.49,1959.42,1958.22,2063.22,1966.33
2022년05월17일,2031.01,1947.11,1944.40,1979.26,1954.98,1969.04,1953.59,1980.88,1985.96,1983.96,1979.03,1969.17,1973.52,1965.15,1963.88,2084.85,1973.27
2022년05월18일,2035.01,1952.91,1948.33,1982.63,1959.91,1973.56,1960.01,1985.80,1991.50,1988.08,1984.47,1974.65,1979.98,1970.98,1969.32,2085.36,1977.95
